namespace, kind, name, container-name, container-index, replicas, cpu-request, memory-request, cpu-limit, memory-limit, location-hint
fluentbit, DaemonSet, fluentbit-fluent-bit, fluent-bit, 0, 1, 10m, 100M, 100m, 300M, fluentbit/fluentbit-values.yaml.template
influxdb, Deployment, influxdb-stats-exporter-deployment, influxdb-stats-exporter-container, 0, 1, 10m, 100M, 30m, 150M, influxdb/influxdb-stats-exporter.yaml.template
influxdb, Deployment, influxdb-ui-deployment, influxdb-ui-container, 0, 1, 10m, 100M, 40m, 200M, influxdb/influxdb-ui.yaml.template
influxdb, StatefulSet, influxdb, influxdb, 0, 1, 10m, 26M, 33m, 40M, influxdb/influxdb-values.yaml
ingress-nginx, DaemonSet, svclb-ingress-nginx-controller, lb-port-80, 0, 1, 10m, 50M, 100m, 200M, ingress-nginx/ingress-nginx-deploy.sh
ingress-nginx, Deployment, ingress-nginx-controller, controller, 0, 1, 100m, 200M, 900m, 600M, ingress-nginx/ingress-nginx-values.yaml
istio-gateway, DaemonSet, svclb-istio-gateway, lb-port-15021, 0, 1, 50m, 500Ki, 100m, 1Mi, istio/istio-deploy.sh
istio-gateway, DaemonSet, svclb-istio-gateway, lb-port-443, 2, 1, 50m, 500Ki, 100m, 1Mi, istio/istio-deploy.sh
istio-gateway, DaemonSet, svclb-istio-gateway, lb-port-81, 1, 1, 50m, 500Ki, 100m, 1Mi, istio/istio-deploy.sh
istio-gateway, Deployment, istio-gateway, istio-proxy, 0, 1, 50m, 128Mi, 250m, 512Mi, istio/istio-gateway-values.yaml
istio-system, Deployment, istiod, discovery, 0, 1, 50m, 200Mi, 100m, 400Mi, istio/istio-istio-values.yaml
keda, Deployment, keda-operator, keda-operator, 0, 1, 100m, 100Mi, 1, 1000Mi, keda/keda-values.yaml.template
keda, Deployment, keda-operator-metrics-apiserver, keda-operator-metrics-apiserver, 0, 1, 100m, 100Mi, 1, 1000Mi, keda/keda-deploy.sh
kube-system, Deployment, coredns, coredns, 0, 1, 100m, 70M, 300m, 200M, start.sh
kube-system, Deployment, local-path-provisioner, local-path-provisioner, 0, 1, 10m, 80M, 50m, 160M, start.sh
kube-system, Deployment, metrics-server, metrics-server, 0, 1, 15m, 100M, 250m, 300M, start.sh
kubernetes-dashboard, Deployment, kubernetes-dashboard, dashboard-metrics-scraper, 1, 1, 10m, 20M, 50m, 40M, kubernetes-dashboard/kubernetes-dashboard-deploy.sh
kubernetes-dashboard, Deployment, kubernetes-dashboard, kubernetes-dashboard, 0, 1, 50m, 100Mi, 150m, 150Mi, kubernetes-dashboard/kubernetes-dashboard-values.yaml.template
monitoring, DaemonSet, prom-prometheus-node-exporter, node-exporter, 0, 1, 30m, 100M, 90m, 500M, prom/prom-values.yaml.template
monitoring, Deployment, prom-grafana, grafana, 2, 1, 10m, 70M, 300m, 210M, prom/prom-values.yaml.template
monitoring, Deployment, prom-grafana, grafana-sc-dashboard, 0, 1, 5m, 10M, 60m, 100M, prom/prom-deploy.sh
monitoring, Deployment, prom-grafana, grafana-sc-datasources, 1, 1, 5m, 10M, 60m, 100M, prom/prom-deploy.sh
monitoring, Deployment, prom-kube-prometheus-stack-operator, kube-prometheus-stack, 0, 1, 15m, 100M, 60m, 300M, prom/prom-values.yaml.template
monitoring, Deployment, prom-kube-state-metrics, kube-state-metrics, 0, 1, 15m, 100M, 150m, 1G, prom/prom-deploy.sh
monitoring, StatefulSet, alertmanager-prom-kube-prometheus-stack-alertmanager, alertmanager, 0, 1, 10m, 50M, 20m, 100M, prom/am-values.yaml.template
monitoring, StatefulSet, alertmanager-prom-kube-prometheus-stack-alertmanager, config-reloader, 1, 1, 100m, 50Mi, 100m, 50Mi, prom/prom-deploy.sh
monitoring, StatefulSet, prometheus-prom-kube-prometheus-stack-prometheus, config-reloader, 1, 1, 100m, 50Mi, 100m, 50Mi, prom/prom-deploy.sh
monitoring, StatefulSet, prometheus-prom-kube-prometheus-stack-prometheus, prometheus, 0, 1, 80m, 700M, 300m, 1200M, prom/prom-values.yaml.template
myapp-green, Deployment, myapp-deploy, myapp-container, 0, 2, 8m, 40Mi, 16m, 60Mi, app/app.yaml.template
nginx, Deployment, nginx, metrics, 1, 2, 10m, 10Mi, 20m, 30Mi, nginx/nginx-values.yaml.template
nginx, Deployment, nginx, nginx, 0, 2, 5m, 10Mi, 10m, 40Mi, nginx/nginx-values.yaml.template
